company,modality,position,seniority,ab,agile,ai,algorithm,analytical skill,attention detail,automation,aws,azure,bachelor,big data,business intelligence,communication,computer science,creativity,curiosity,dashboard,data mining,decision making,deep learning,economics,engineering,etl,excel,kpi,leadership,looker,machine learning,master,mathematics,modeling,motivation,natural language,optimization,ph,power bi,prediction,presentation,proactive,problem solving,programming,python,qlik,quantitative,r,reporting,research,segmentation,sql,statistic,storytelling,tableau,team work,visualization
Touchpoint Resource Ltd,Hybrid,data analyst,junior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03247612959806178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029586256979984824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016913023768446743,0.0,0.02912609233134648,0.024946089282922582,0.0,0.0,0.0,0.01760819952851353,0.0,0.0,0.0,0.0,0.0
Softonic,Hybrid,data scientist,senior,0.0,0.0,0.0,0.05305369580453543,0.03309951100158834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018611269161756153,0.025699182422471937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017903839185703423,0.0,0.0,0.02789880619418295,0.0,0.0,0.04159859948680177,0.0,0.021592032563856063,0.02674391163268781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014923075783603511,0.0,0.0,0.0,0.0,0.0,0.0,0.01553645874175645,0.018302478032572178,0.0,0.0,0.0,0.0
PPG,On-site,data analyst,junior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018692844344674643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023340777185989245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016594709168594672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02932883151378489,0.0,0.0,0.01479215263390403,0.0,0.0,0.0,0.0,0.0,0.0,0.023960848881420155,0.0,0.0,0.0329501796598497,0.0,0.0,0.0,0.0,0.0
Cofidis España,Hybrid,data analyst,junior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03729816117565086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0339792024197846,0.023304094813559155,0.0,0.0,0.03631379940306401,0.0,0.0,0.0,0.0,0.028104741606892903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02382297332824195,0.0,0.0,0.0,0.026744895357335062
Vertex Professional Services (VPS),On-site,data analyst,senior,0.0,0.0,0.0,0.0,0.0,0.028394450581677368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020596303223295562,0.0,0.0,0.0,0.0,0.0,0.0,0.02633620058263785,0.0,0.0,0.0,0.0,0.0,0.0,0.025025032371547132,0.0,0.0,0.0,0.0,0.05176053069950577,0.0,0.054121029300196445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06343039545557991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019226691242292555
FREE NOW,Unknown,data analyst,senior,0.0,0.0,0.0,0.0,0.020414514170823253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011478719973278297,0.0,0.03534669544665686,0.0,0.013575537346685547,0.0,0.0,0.0,0.016100693460412575,0.011042404183890936,0.0,0.0,0.0,0.019303735456664396,0.0,0.0,0.0,0.013317140991314482,0.016494623228196666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013402180455984255,0.00920398316585475,0.0,0.0,0.013575537346685547,0.013936185425876239,0.015974324392346296,0.0,0.00958229434666808,0.011288269398880136,0.0,0.013317140991314482,0.0,0.012672791917226908
Glovo,On-site,data analyst,junior,0.0,0.0,0.0,0.0,0.026392967160788258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024695966791716737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02224601673640835,0.0,0.0,0.011899397821185384,0.0,0.0,0.0,0.0,0.0,0.0,0.01238849858979616,0.0,0.0,0.017217106511488254,0.0,0.016384057837874295
SETESCA,Hybrid,data analyst,senior,0.0,0.03348954660413547,0.0,0.0,0.0,0.0,0.0,0.0,0.03851749735913747,0.031306158697060264,0.0,0.0,0.020333138619132444,0.0,0.0,0.0,0.0,0.040805475264035,0.0,0.0,0.0,0.019560258938472748,0.040805475264035,0.0,0.0,0.03419418975470663,0.0,0.0,0.0,0.0471793500350709,0.0,0.0,0.0,0.0,0.0,0.030216728111273947,0.0,0.0,0.0,0.0,0.0,0.016303722540069746,0.04019121351326248,0.0,0.024047392334855627,0.07405870796027776,0.0,0.0,0.01697385420096505,0.01999577888404473,0.0,0.0,0.0,0.04489657999223824
Zurich Insurance,Unknown,data scientist,junior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019383470460562918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020323298605244827,0.023848431214454915,0.0,0.0,0.0,0.0,0.0,0.042343238175399533,0.0,0.014069507630435869,0.0,0.014605744936686035,0.10854413564663962,0.0,0.028078860407400028,0.0,0.0,0.018708940385418125,0.0,0.0,0.0,0.0,0.0,0.010094586413833363,0.0,0.0,0.014889144448757021,0.0,0.0,0.023848431214454915,0.010509504046473864,0.012380554033645281,0.0,0.0,0.0,0.0
Accenture España,Unknown,data analyst,junior,0.0,0.029860013461351947,0.0,0.0,0.0,0.0,0.0,0.062311712080665264,0.0686860890197545,0.0,0.20333166005251152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021033071062405623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015134260278974764,0.0,0.0,0.0,0.0,0.0
